area,section,question_type,question_id,question_subject,question_original,question_lite,a0,a1,a2,a3,a4,a5,more_info_link
Technical infrastructure,Technical Planning and Management,RA,3.2.2.2,Evaluation of Software Tools and Services,New software tools or services are evaluated against a set of requirements defined by the organisation for the safe and consistent provision of functions and services in accordance with policies and the technical management and maintenance plan.,to do,There is no evidence of a software evaluation procedure or requirements being defined.,New or updated software is evaluated on an ad hoc basis by various roles or staff. Software maybe installed and used to provision a function or service without a full evaluation being performed.,New or updated software is evaluated for use on a regular basis to a set of undocumented requirements but based upon the knowledge of staff. There is no systematic or comparative reporting.,A defined set of requirements (functional and nonfunctional) is created for the evaluation of core software tools or software services required safe and consistent provision of functions and services. Software or service is selected based upon best fit to the requirements. This process is documented in a policy.,The process of creating the requirements and software selection are monitored and issues recorded.,At regular intervals the process of software and service evaluation is reviewed and alterations made if required due to changes in other policies or issues noted.,
Technical infrastructure,Technical Resilience - Infrastructure,RA,3.3.1.1,Data Backup and Storage Redundancy,The organisation ensures it has a strategy and procedure for sufficient data backup and storage redundancy to assure that it is possible to roll-back to a previous version of the data object if required in accordance with policy and service level agreements with depositors. The back-ups of the digital objects must be held at a separate location to the primary digital objects storage location.Â,to do,There is no evidence of a backup strategy or procedure. There is no evidence of offsite duplication of the data objects held by the repository.,"Backups are made of the data objects held by the repository, but insufficient to facilitate roll-back to a specific version. There is no evidence of offsite backup or there is insufficient storage redundancy.",There is a procedure in place to make regular backups of the digital objects held by the repository. There may still be insufficient storage redundancy to ensure roll-back to meet policy or service level agreements.,The organisation has a strategy and procedure for automatic backup and duplication of digital objects held by the repository with sufficient storage redundancy. All backups are held at an offsite location and are available for restoration if required in accordance with policy and service level agreements.,The backup procedure is monitored and any identified issues recorded. Sufficient storage redundancy is continuously maintained as the number of digital objects held by the repository increases.,"At regular intervals the strategy, policy and procedure for data backup is reviewed and is adapted in accordance with policies and any service level agreements to meet the needs of the functions and services of the repository.",
Technical infrastructure,Technical Resilience - Infrastructure,EA,3.3.1.2,Consistency Checking Across Digital Object Copies,All copies of digital objects held by the repository are checked for authenticity and consistency. If an inconsistency is found then this is recorded and reported to the responsible role in accordance with organisational policy.Â,to do,There is no evidence of consistency checking or it is not applicable.,There are consistency checks but these are performed on a reactive ad hoc basis.,Consistency is checked on a regular basis but there is no defined procedure for doing so. Corrections are made but not reported or recorded.,All copies of digital objects held by the repository are checked for authenticity and consistency. If an inconsistency is found then this is recorded and reported to the responsible role in accordance with organisational policy.,Consistency checking is monitored. Levels of inconsistencies recorded are analysed and corrective procedures are implemented.,At regular intervals the policy and procedures for consistency checking are reviewed and adapted if necessary and in accordance with organisational policy.,
Technical infrastructure,Technical Resilience - Infrastructure,RA,3.3.2.1,Monitoring Deterioration of Data Storage Media,"The deterioration of storage media is monitored, managed and maintained to a defined quality threshold. Identified faults are addressed in accordance with the management and maintenance plan.Â",to do,There is no monitoring of storage media failure or deterioration or it is not applicable.,When a failure occurs or when corruption of data has been identified then corrective measures are taken.,"There is monitoring of storage media deterioration through the monitoring of data integrity and corrective measures are taken when faults appear. There is no quality threshold set for the storage media. When a media storage device has, or is about to, fail then it is managed according to common practice.","Storage media is monitored, managed and maintained to a defined quality threshold. Identified faults and data corruptions are addressed in accordance with the management and maintenance plan.","The level of corruption, error and failure of storage media is monitored as are the corrective procedures of the management and maintenance plan.",At regular intervals the monitoring of the storage media is reviewed and altered if appropriate to do so.,
Technical infrastructure,Technical Resilience - Infrastructure,EA,3.3.2.2,Data Storage Media Replacement,"At regular intervals the storage media is replaced even if no potential failure or deterioration has been detected, in accordance with the management and maintenance plan.Â",to do,There is no evidence awareness of or need to regular replacement of storage media or it is not applicable.,Some storage media is replaced depending upon its type.,"There is regular replacement of storage media, but not in a predetermined and defined timeframe, only in the event of failure.",At regular intervals the storage media is replaced in accordance with the management and maintenance plan.,Management and replacement of storage media procedures are monitored and any discrepancies are recorded,At regular intervals the policy for storage media replacement and the procedures for replacement are evaluated. Any changes to the policy and procedures are communicated to the relevant roles and stakeholders.,
Technical infrastructure,Technical Resilience - Infrastructure,EA,3.3.3.1,Network Redundancy Planning,The network infrastructure has communications redundancy between the organisation and its designated communities such that if there is a network outage it does not affect the delivery of service in accordance with service policies or service level agreements.,to do,Not applicable or there is no evidence or no awareness of network redundancy planning,There is only one network connection between the services provided by the repository and the internet. There is a redundancy plan in place which will be implemented.,There are more than one network connection between the services provided by the repository and the Internet. Network resilience is not regularly tested.,There are more than one network connection between the services provided by the repository and the Internet. Network resilience is regularly tested.,Network resilience and the testing thereof are monitored and any discrepancies are recorded.,At regular intervals the monitoring of the network resilience is assessed and changes made. Any changes are recorded in the technical management and maintenance plan and are communicated to the relevant roles and stakeholders.,
Technical infrastructure,Technical Resilience - Security,RA,3.4.1.1,Policy and security planning documentation,Policy and security planning documentation is maintained by a responsible role and is communicated throughout the organisation. Information about current or imminent security threats and issues are regularly circulated throughout the organisation.,to do,"There is no evidence, or little awareness for the requirement, of a security policy or planning document.",There is some elements of a security policy within other policy documentation. There is no formally security planning or procedural documentation and all incidents are handled reactively when necessary. There are occasional security bulletins circulated. Not all staff are aware of the security.,There is a security policy document. There is little or no formally written security planning or procedural documentation. Procedures come from repeated practice.,"Policy, security planning and security procedures documentation is maintained by a responsible role. It is communicated throughout the organisation. Security bulletins are circulated regularly and all staff are aware of security procedure relevant for their role and function.","Policy, planning and security procedures are monitored and records of incidents are maintained.","At regular intervals the security policy, planning and procedures are reviewed and altered as required. Changes are communicated to all relevant stakeholders.",
Technical infrastructure,Technical Resilience - Security,RA,3.4.2.1,Staff awareness of security,"A role has been assigned to manage security documentation, issues, concerns and incidents. All staff are aware of their individual responsibilities to ensuring safety of the technical infrastructure is maintained.Â",to do,"There is no role assigned to take care of security, or this is not applicable.","An individual takes care of security matters but a role has not been tasked with responsibility, however this may be inadequate. Some of the staff are aware of their responsibilities regarding security and safety of the technical infrastructure.",A role has been assigned to manage security matters and documentation and there are adequate staff to perform this role. Most of the staff are aware of their responsibilities regarding security and safety of the technical infrastructure and the repository.,A role has been assigned to manage security matters and documentation and there are adequate staff to perform this role including the communications of security issues and incidents. All staff are trained in security matter relevant to their work and are kept up to date on current issues and threats.,The staff level required to adequately perform the security tasks and documentation is monitored and adjusted accordingly. Training of staff is monitored. Security incidents and threats are recorded.,At regular intervals staff awareness of security is assessed and training is reviewed.,
Technical infrastructure,Technical Resilience - Security,RA,3.4.3.1,"Scanning, quarantining and disinfection of digital objects",The organisation scans for infection with software viruses and malware on all new digital objects that are deposited (and all existing digital objects held by the repository) and if an issue is found then a quarantine or disinfection procedure is followed.Â,to do,"There is no scanning or monitoring for virus or malware infections in deposited digital objects, there is no awareness of the topic, or this is not applicable.","There is monitoring of the situation for all new deposits of digital objects, but there is no standard procedure for quarantining the infected digital objects, their removal, or disinfection of the virus or malware.","There is regular monitoring and scanning of the situation for all new deposits of digital objects. Procedures for handling an infection have grown out of repeated practice, but there is no documented procedure for quarantining the infected digital objects, their removal, or disinfection of the virus or malware.",There is regular monitoring and scanning of the situation for all new and existing deposits of digital objects. Procedures for handling instances of infection are documented and are in accordance with other service policies and service level agreements. The depositor is informed of the infection.,Monitoring of the level of infections detected and containment procedures are undertaken. All incidents are recorded. A communication plan is used to communicate to all relevant stakeholders.,At regular intervals the procedures for managing infections of viruses and malware are reviewed. If adjustments are required to be made in the policy or procedure then these are communicated to all relevant stakeholders in accordance with the communication plan.,
Technical infrastructure,Technical Resilience - Security,RA,3.4.4.1,Decommissioning procedure for Data Storage Hardware,A policy and procedure for safe and trustworthy destruction of data from (or decommissioning of) data storage media are implemented for all computer hardware decommissionings at the end of their useful life.,to do,"There is no evidence that data is destroyed during the decommissioning of storage media, or this is not applicable.","Individuals involved in the decommissioning of computers may consider the overwriting of data for deletion, but to no particular standard.",Data is destroyed during decommissioning in a method suitable for the media but this comes through repeated practice.,There is a policy and clear set of procedures followed for the safe and trustworthy destruction of data from data storage media.,Implementation of the procedures for destruction of data during decommissioning of data storage media are monitored for quality.,"At regular intervals the procedures for data destruction are reviewed, and if necessary updated.",
Technical infrastructure,Technical Resilience - Disaster Planning,RA,3.5.1.1,Guarantees of continuity,The repository has medium-term (3-5) and long-term (>5) plans in place to ensure the continued availability and accessibility of data in case the organisation ceases to operate (e.g. due to funding issues).,to do,No guarantees in place. No awareness of continuity guarantees.,"There is some awareness of the issue; low institutional commitment to long-term planning and continuity; no written, formal agreements, plans or other documents exists.","There are partial and/or informal plans are in place, but they lack a specific time frame and are short on details; lacks agreements with external organisations or other third parties; no dedicated funding.","Written and credible succession and contingency plan(s) are in place, with an explicit timeframe; specific statements documenting the intent to ensure continuity of the repository are made explicit and are formalised; escrow and/or reserve funds are set aside for contingencies; there may be explicit agreements with external organisations documenting the measures to be taken to ensure the complete and formal transfer of responsibility for the repositoryâ€™s digital content.",Succession / contingency plan(s) and agreements are regularly reviewed and updated; all plans are integrated into higher level policies; dedicated funds are set aside.,Succession / contingency plan(s) and agreements are continuously assessed; monitoring of community risk factors (technology watch); regular and formalised contact with stakeholders and possible successor organisations / arrangements.,
Technical infrastructure,Technical Resilience - Disaster Planning,RA,3.5.1.2,Data recovery provisions/plans,"The repository ensures the continuity and/or recovery of data, critical code, software, and metadata sufficient to enable reconstitution of the repository and its content in the event of repository failure.Â",to do,No recovery plans in place.,"There is some awareness of the issue; low institutional commitment to recovery issues; no written, formal processes, procedures, plans or other documents exists.","Partial and/or informal plans are in place, but they lack a specific time frame and are short on details; no dedicated funding.",Written and credible recovery plan(s) are in place; specific statements documenting the intent to recover essential material are formalised; processes and procedures are formalised and defined.,Recovery plan(s) are regularly reviewed and updated; all plans are integrated into higher level policies; dedicated funds are set aside; all relevant staff are trained in recovery procedures; roles and responsibilities are identified and maintained.,Recovery plans are continuously assessed; monitoring of community risk factors (technology watch); regular and formalised contact with relevant stakeholders; assessment of success of training programs and staff knowledge; recovery plans are assessed and measured towards benefit-cost analyses and repository performance.,
Technical infrastructure,Technical Resilience - Disaster Planning,RA,3.5.1.3,Security risk factors and analysis,"To perform and maintain functions and mechanisms for systematic analysis of security risk factors associated with data, systems, personnel, and physical plant.",to do,No risk analysis undertaken.,"There is some awareness of the issue; low institutional commitment to security risk factors and analysis; no written, formal processes, procedures, plans or other documents exists.","Partial and/or informal analyses are done, but they are informal and performed on an ad-hoc basis; no written procedures or processes.",Credible functions and mechanisms for identifying security risk factors and analyses are in place; repository have implemented controls to adequately address the defined security risks; processes and procedures are formalised and defined.,Functions and mechanisms are regularly reviewed and updated; all plans are integrated into higher level policies; all relevant staff are trained in security risk analyses; roles and responsibilities are identified and maintained; some relevant parts of the ISO 27000 series are employed.,Procedures and processes are continuously assessed; monitoring of wider community risk factors (technology watch); regular and formalised contact with relevant stakeholders; assessment of success of training programs and staff knowledge; procedures for security risk analyses are assessed and measured towards benefit-cost assessments and repository performance; all relevant parts of the ISO 27000 series are employed and implemented.,
Technical infrastructure,Technical Resilience - Disaster Planning,RA,3.5.1.4,Disaster preparedness,"The repository have suitable written disaster preparedness, including off-site backup of all preserved information (together with an offsite copy of the recovery plan(s)).",to do,No disaster preparedness.,"There is some awareness of the issue; low institutional commitment to disaster preparedness; no written, formal processes, procedures, plans or other documents exists.","Some awareness of the need to plan and prepare for disasters; no written statements, procedures or processes.",Repository have implemented functions and mechanisms to be adequately prepared for disasters; processes and procedures are formalised and defined.,Functions and mechanisms are regularly reviewed and updated; all plans are integrated into higher level policies; all relevant staff are trained in security risk analyses; roles and responsibilities are identified and maintained; some relevant parts of the ISO 17799 is employed.,Procedures and processes are continuously assessed; monitoring of wider community disaster preparedness (technology watch); regular and formalised contact with relevant stakeholders; assessment of success of training programs and staff knowledge; procedures for disaster and disaster planning are assessed and measured towards benefit-cost assessments and repository performance; repository maintains ISO 17799 certification.,
